Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10
Festival,Poisson,82,Total,52,48,131.22916666666666,108.0,330.64999999999986,0.3514479811610309,10,10,0,1
Festival,Poisson,83,Target,10,10,176.9,153.0,280.79999999999995,0.23578292820802713,10,10,0,1
Festival,Poisson,83,Background,50,49,152.12244897959184,115.0,387.79999999999933,0.389660667057271,10,10,0,1
Festival,Poisson,83,Total,60,59,156.32203389830508,130.0,328.79999999999933,0.3688751591911893,10,10,0,1
Festival,Poisson,84,Target,10,10,344.1,357.0,549.0999999999999,0.2079337401918047,10,10,0,1
Festival,Poisson,84,Background,47,46,179.32608695652175,149.5,402.5,0.32037348400596644,10,10,0,1
Festival,Poisson,84,Total,57,56,208.75,160.0,455.25,0.33469998777954296,10,10,0,1
Festival,Poisson,85,Target,10,10,224.8,198.0,376.7999999999999,0.2029359430604982,10,10,0,1
Festival,Poisson,85,Background,45,38,180.07894736842104,122.5,464.1999999999999,0.36592522516286335,10,10,0,1
Festival,Poisson,85,Total,55,48,189.39583333333334,145.0,443.29999999999995,0.34252969970300295,10,10,0,1
Festival,Poisson,86,Target,10,10,109.1,91.5,173.84999999999997,0.2149404216315307,10,10,0,1
Festival,Poisson,86,Background,42,41,137.3170731707317,115.0,255.0,0.3217519386561539,10,10,0,1
Festival,Poisson,86,Total,52,51,131.7843137254902,115.0,250.0,0.3101954366034466,10,10,0,1
Festival,Poisson,87,Target,10,10,98.9,75.0,193.69999999999993,0.27391304347826084,10,10,0,1
Festival,Poisson,87,Background,39,38,140.76315789473685,130.0,242.24999999999997,0.2809133040115712,10,10,0,1
