Scenario,Condition,Seed,TotalSuccessN,TargetSuccessN,TotalWaitSum,TargetWaitSum,TargetWaitBurdenShare,TargetSuccessShare,ExcessBurden
Festival,Synchronized,90,53,10,8345.0,3084.0,0.3695626123427202,0.18867924528301888,0.18088336705970132
Festival,Synchronized,91,53,10,8569.0,1577.0,0.18403547671840353,0.18867924528301888,-0.004643768564615347
Festival,Synchronized,92,53,10,7778.0,1690.0,0.21727950629982,0.18867924528301888,0.028600261016801132
Festival,Synchronized,93,51,10,8836.0,1892.0,0.21412403802625624,0.19607843137254902,0.01804560665370722
Festival,Synchronized,94,45,10,6229.0,1955.0,0.31385455129234224,0.2222222222222222,0.09163232907012003
Festival,Synchronized,95,45,10,7399.0,2151.0,0.29071496148128123,0.2222222222222222,0.06849273925905902
Festival,Synchronized,96,48,10,7927.0,2090.0,0.2636558597199445,0.20833333333333334,0.05532252638661114
Festival,Synchronized,97,51,10,8029.0,1710.0,0.2129779549134388,0.19607843137254902,0.016899523540889777
Festival,Synchronized,98,44,10,5704.0,1850.0,0.32433380084151475,0.22727272727272727,0.09706107356878749
Festival,Synchronized,99,49,10,8224.0,3240.0,0.3939688715953307,0.20408163265306123,0.1898872389422695
Festival,Synchronized,100,63,10,8780.0,1262.0,0.1437357630979499,0.15873015873015872,-0.014994395632208835
Festival,Uniform,1,50,10,7772.0,745.0,0.0958569222851261,0.2,-0.10414307771487391
Festival,Uniform,2,44,10,4659.0,640.0,0.13736853402017601,0.22727272727272727,-0.08990419325255125
Festival,Uniform,3,33,10,3871.0,1310.0,0.33841384655127876,0.30303030303030304,0.035383543520975724
Festival,Uniform,4,42,10,6441.0,1881.0,0.2920353982300885,0.23809523809523808,0.05394016013485042
Festival,Uniform,5,47,10,6315.0,953.0,0.15091053048297703,0.2127659574468085,-0.06185542696383148
Festival,Uniform,6,53,10,10050.0,2162.0,0.21512437810945273,0.18867924528301888,0.026445132826433848
Festival,Uniform,7,51,10,5889.0,1100.0,0.18678892851078283,0.19607843137254902,-0.009289502861766191
Festival,Uniform,8,39,10,3725.0,760.0,0.2040268456375839,0.2564102564102564,-0.0523834107726725
Festival,Uniform,9,51,10,7778.0,1291.0,0.16598097197222936,0.19607843137254902,-0.03009745940031966
Festival,Uniform,10,45,10,5533.0,675.0,0.12199530092174227,0.2222222222222222,-0.10022692130047994
Festival,Uniform,11,43,10,6778.0,1005.0,0.14827382708763648,0.23255813953488372,-0.08428431244724724
Festival,Uniform,12,46,10,6114.0,710.0,0.11612692181877658,0.21739130434782608,-0.1012643825290495
Festival,Uniform,13,46,10,6965.0,1160.0,0.1665470208183776,0.21739130434782608,-0.050844283529448475
Festival,Uniform,14,46,10,5563.0,580.0,0.1042602912097789,0.21739130434782608,-0.11313101313804719
Festival,Uniform,15,53,10,8440.0,725.0,0.08590047393364929,0.18867924528301888,-0.1027787713493696
